Dátum;Bács-Kiskun;Baranya;Békés;Borsod-Abaúj-Zemplén;Budapest;Csongrád;Fejér;Győr-Moson-Sopron;Hajdú-Bihar;Heves;Jász-Nagykun-Szolnok;Komárom-Esztergom;Nógrád;Pest;Somogy;Szabolcs-Szatmár-Bereg;Tolna;Vas;Veszprém;Zala
2020.03.31;8;20;3;6;215;17;12;25;8;2;4;12;5;89;11;24;7;8;10;6
2020.04.01;8;19;3;6;232;17;13;26;9;3;5;12;5;98;11;25;7;9;10;7
2020.04.02;15;19;3;6;243;21;18;28;10;3;7;13;6;122;11;27;7;9;10;7
2020.04.03;17;21;4;6;261;23;21;28;11;3;8;15;7;124;12;28;7;9;10;8
2020.04.04;18;21;6;5;291;25;21;33;13;3;7;14;8;134;12;28;7;11;10;10
2020.04.05;19;23;8;7;313;30;24;34;14;3;8;14;10;142;15;28;10;11;10;10
2020.04.06;19;23;8;7;317;32;24;34;15;4;8;14;10;142;15;28;12;11;10;11
2020.04.07;19;23;9;7;345;32;39;36;15;4;10;15;11;153;16;34;13;12;13;11
2020.04.08;19;23;10;7;387;40;49;37;15;4;10;15;12;164;17;36;13;12;14;11
2020.04.09;19;23;11;10;428;40;55;37;15;4;11;17;12;183;17;36;13;12;18;19
2020.04.10;21;28;11;10;580;42;72;43;17;5;12;17;12;194;17;37;13;13;23;23
2020.04.11;22;29;11;13;655;44;82;44;17;8;13;20;17;199;18;37;13;14;28;26
2020.04.12;22;29;11;44;669;45;93;60;18;9;14;20;18;215;20;38;13;14;30;28
2020.04.13;22;29;11;45;703;47;102;61;18;9;14;20;19;214;20;38;13;14;31;28
2020.04.14;22;29;12;45;732;51;106;61;19;11;15;20;19;220;21;40;13;14;32;30
2020.04.15;22;29;12;48;770;52;114;61;19;12;15;20;19;234;21;41;13;14;32;31
2020.04.16;22;32;12;50;805;52;122;62;19;13;16;21;19;249;21;42;14;14;34;33
2020.04.17;22;33;12;52;883;54;128;63;19;13;17;23;20;259;21;43;14;14;36;37
2020.04.18;23;33;13;52;929;55;141;63;19;13;18;25;20;264;21;43;14;14;37;37
2020.04.19;23;33;13;52;971;57;146;63;19;13;19;32;22;278;23;43;14;14;41;40
2020.04.20;23;33;13;53;1002;57;159;64;19;13;19;43;22;286;24;43;14;14;43;40
2020.04.21;23;34;13;53;1082;57;175;64;21;14;19;48;23;293;24;44;14;14;43;40
2020.04.22;23;35;13;53;1113;57;181;75;22;14;19;48;23;305;24;43;15;15;48;42
2020.04.23;23;33;13;53;1173;57;213;72;21;14;19;64;23;317;24;43;16;14;50;42
2020.04.24;23;33;13;54;1221;60;240;74;22;15;20;67;23;329;24;43;16;14;50;42
2020.04.25;23;33;13;59;1247;63;246;74;23;16;20;70;23;339;24;44;16;14;52;44
2020.04.26;23;33;13;62;1274;63;251;75;23;16;21;72;23;350;24;45;16;14;54;48
2020.04.27;23;33;14;62;1286;86;263;76;23;16;21;87;23;352;24;45;16;14;54;65
2020.04.28;23;33;14;62;1305;89;265;77;23;17;22;92;23;358;24;47;16;14;56;89
2020.04.29;23;34;14;63;1347;96;269;77;23;17;22;93;24;368;25;47;17;14;56;98
2020.04.30;23;34;15;63;1368;97;271;77;23;17;22;101;24;375;26;47;17;14;58;103
2020.05.01;23;34;16;64;1408;97;296;78;23;17;22;110;24;380;27;47;17;14;58;108
2020.05.02;23;35;16;65;1448;98;298;79;23;17;22;121;24;394;28;47;17;14;58;115
2020.05.03;23;36;16;65;1473;101;300;79;23;17;22;132;24;400;28;47;17;14;58;123
